Date,TimeStep,SPEI_Akron,SPEI_Ftc,SPEI_Greeley,SPEI_Leroy,SPEI_avg,SPEI_min,SPEI_max,location,year,month,SPEI_Hayden,SPEI_Montrose2,SPEI_Rangely,SPEI_Walden,SPEI_CheyenneWells,SPEI_Flagler,SPEI_Lamar,SPEI_RockyFord2,SPEI_Trinidad,SPEI_Walsh,SPEI_FtLewis,SPEI_MesaVerde,SPEI_Vallecito,SPEI_AlamosaSLV,SPEI_SandDunes,SPEI_LakeGeorge
2020-01-01,1,NA,NA,NA,NA,-0.21430649999999998,-0.63225,0.203637,EC,2020,1,NA,NA,NA,NA,-0.63225,0.203637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,1,NA,NA,NA,NA,1.1573985,0.658661,1.656136,EC,2020,1,NA,NA,NA,NA,0.658661,1.656136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,1,NA,NA,NA,NA,-0.484418,-0.739089,-0.229747,EC,2020,1,NA,NA,NA,NA,-0.739089,-0.229747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,1,NA,NA,NA,NA,-0.796654,-1.101923,-0.491385,EC,2020,1,NA,NA,NA,NA,-1.101923,-0.491385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,1,NA,NA,NA,NA,1.14079,1.027007,1.254573,EC,2020,1,NA,NA,NA,NA,1.027007,1.254573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.8994205,-1.153519,-0.645322,EC,2020,2,NA,NA,NA,NA,-1.153519,-0.645322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.06089300000000001,-0.198198,0.076412,EC,2020,2,NA,NA,NA,NA,-0.198198,0.076412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.2034175,0.109222,0.297613,EC,2020,2,NA,NA,NA,NA,0.109222,0.297613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.075221,0.063299,0.087143,EC,2020,2,NA,NA,NA,NA,0.063299,0.087143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.063249,0.055083,0.071415,EC,2020,2,NA,NA,NA,NA,0.055083,0.071415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.890688,-1.100872,-0.680504,EC,2020,2,NA,NA,NA,NA,-0.680504,-1.100872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.586968,-0.640928,-0.533008,EC,2020,2,NA,NA,NA,NA,-0.640928,-0.533008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.3740455,-0.129155,0.877246,EC,2020,2,NA,NA,NA,NA,0.877246,-0.129155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.09407399999999999,-0.8767,0.688552,EC,2020,2,NA,NA,NA,NA,-0.8767,0.688552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.6682020000000001,-1.506544,0.17014,EC,2020,2,NA,NA,NA,NA,0.17014,-1.506544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.29297,0.03967,0.54627,EC,2020,2,NA,NA,NA,NA,0.54627,0.03967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.3767595,0.195601,0.557918,EC,2020,2,NA,NA,NA,NA,0.195601,0.557918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,1.2759675000000001,0.507963,2.043972,EC,2020,2,NA,NA,NA,NA,0.507963,2.043972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.651829,0.389514,0.914144,EC,2020,2,NA,NA,NA,NA,0.389514,0.914144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,0.42416149999999997,0.08059,0.767733,EC,2020,2,NA,NA,NA,NA,0.767733,0.08059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,1.1167085,1.046417,1.187,EC,2020,2,NA,NA,NA,NA,1.046417,1.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-0.14657200000000004,-0.827682,0.534538,EC,2020,2,NA,NA,NA,NA,0.534538,-0.827682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-01,1,NA,NA,NA,NA,-1.6147615000000002,-2.272794,-0.956729,EC,2020,2,NA,NA,NA,NA,-0.956729,-2.272794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,1.1365435000000002,1.062105,1.210982,EC,2020,3,NA,NA,NA,NA,1.062105,1.210982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,0.5535755,0.301541,0.80561,EC,2020,3,NA,NA,NA,NA,0.301541,0.80561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,0.105184,-0.22559,0.435958,EC,2020,3,NA,NA,NA,NA,-0.22559,0.435958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,1.2669385,1.245225,1.288652,EC,2020,3,NA,NA,NA,NA,1.245225,1.288652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-1.490142,-2.0732,-0.907084,EC,2020,3,NA,NA,NA,NA,-0.907084,-2.0732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.597343,-1.021819,-0.172867,EC,2020,3,NA,NA,NA,NA,-1.021819,-0.172867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.5165735,-0.604341,-0.428806,EC,2020,3,NA,NA,NA,NA,-0.428806,-0.604341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-1.2700935000000002,-2.265007,-0.27518,EC,2020,3,NA,NA,NA,NA,-0.27518,-2.265007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.4092965,-0.826465,0.007872,EC,2020,3,NA,NA,NA,NA,-0.826465,0.007872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.9789064999999999,-1.046414,-0.911399,EC,2020,3,NA,NA,NA,NA,-1.046414,-0.911399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,0.6023025,0.469999,0.734606,EC,2020,3,NA,NA,NA,NA,0.734606,0.469999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.257636,-0.373661,-0.141611,EC,2020,3,NA,NA,NA,NA,-0.141611,-0.373661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-1.788494,-1.996654,-1.580334,EC,2020,3,NA,NA,NA,NA,-1.580334,-1.996654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,0.646146,0.559387,0.732905,EC,2020,3,NA,NA,NA,NA,0.732905,0.559387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.43628350000000005,-0.532104,-0.340463,EC,2020,3,NA,NA,NA,NA,-0.532104,-0.340463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-1.0299925,-1.404757,-0.655228,EC,2020,3,NA,NA,NA,NA,-1.404757,-0.655228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-1.2071830000000001,-1.352315,-1.062051,EC,2020,3,NA,NA,NA,NA,-1.352315,-1.062051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,1,NA,NA,NA,NA,-0.25175200000000003,-1.33982,0.836316,EC,2020,3,NA,NA,NA,NA,-1.33982,0.836316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.0906565,-0.21055,0.029237,EC,2020,4,NA,NA,NA,NA,0.029237,-0.21055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.7413780000000001,-1.388891,-0.093865,EC,2020,4,NA,NA,NA,NA,-1.388891,-0.093865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-1.5596450000000002,-1.670107,-1.449183,EC,2020,4,NA,NA,NA,NA,-1.670107,-1.449183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.182609,-0.240729,-0.124489,EC,2020,4,NA,NA,NA,NA,-0.124489,-0.240729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.917852,0.713015,1.122689,EC,2020,4,NA,NA,NA,NA,1.122689,0.713015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.5524215,0.225937,0.878906,EC,2020,4,NA,NA,NA,NA,0.225937,0.878906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-1.634178,-1.748164,-1.520192,EC,2020,4,NA,NA,NA,NA,-1.748164,-1.520192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,1.0272055,0.535816,1.518595,EC,2020,4,NA,NA,NA,NA,0.535816,1.518595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.31278100000000003,-0.556687,-0.068875,EC,2020,4,NA,NA,NA,NA,-0.068875,-0.556687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.9681845,0.838487,1.097882,EC,2020,4,NA,NA,NA,NA,0.838487,1.097882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.2224355,-0.525355,0.080484,EC,2020,4,NA,NA,NA,NA,0.080484,-0.525355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.9533849999999999,0.43782,1.46895,EC,2020,4,NA,NA,NA,NA,0.43782,1.46895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.07003199999999998,-1.32444,1.464504,EC,2020,4,NA,NA,NA,NA,1.464504,-1.32444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.26833799999999997,-0.456968,-0.079708,EC,2020,4,NA,NA,NA,NA,-0.079708,-0.456968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,-0.485847,-0.794434,-0.17726,EC,2020,4,NA,NA,NA,NA,-0.794434,-0.17726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.6246035000000001,0.552749,0.696458,EC,2020,4,NA,NA,NA,NA,0.552749,0.696458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,1.109057,0.599169,1.618945,EC,2020,4,NA,NA,NA,NA,1.618945,0.599169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,1,NA,NA,NA,NA,0.7263245,0.460389,0.99226,EC,2020,4,NA,NA,NA,NA,0.99226,0.460389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,0.23650800000000002,-0.103721,0.576737,EC,2020,5,NA,NA,NA,NA,-0.103721,0.576737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,0.8589580000000001,0.837644,0.880272,EC,2020,5,NA,NA,NA,NA,0.837644,0.880272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.1931315,-1.517732,-0.868531,EC,2020,5,NA,NA,NA,NA,-0.868531,-1.517732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-0.20742850000000002,-0.655312,0.240455,EC,2020,5,NA,NA,NA,NA,0.240455,-0.655312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.3882474999999999,-1.505995,-1.2705,EC,2020,5,NA,NA,NA,NA,-1.2705,-1.505995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.034969,-1.488274,-0.581664,EC,2020,5,NA,NA,NA,NA,-0.581664,-1.488274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.02014,-1.408221,-0.632059,EC,2020,5,NA,NA,NA,NA,-1.408221,-0.632059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,0.1446805,-0.519814,0.809175,EC,2020,5,NA,NA,NA,NA,0.809175,-0.519814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.033739,-1.566824,-0.500654,EC,2020,5,NA,NA,NA,NA,-1.566824,-0.500654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-0.9755305,-1.102695,-0.848366,EC,2020,5,NA,NA,NA,NA,-0.848366,-1.102695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-0.7039835,-1.37676,-0.031207,EC,2020,5,NA,NA,NA,NA,-0.031207,-1.37676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,0.525988,-0.192417,1.244393,EC,2020,5,NA,NA,NA,NA,-0.192417,1.244393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-1.524581,-1.711679,-1.337483,EC,2020,5,NA,NA,NA,NA,-1.711679,-1.337483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,1,NA,NA,NA,NA,-0.6516765,-0.711673,-0.59168,EC,2020,5,NA,NA,NA,NA,-0.711673,-0.59168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
